transaction_id,created_ts,sender_user_id,receiver_user_id,amount,currency,status,channel
txn_db7232a999d5495e,2026-01-21T08:46:09Z,0e408d76-c3ce-4e8d-abdc-fee419d0ab68,3fa37442-19fb-491d-9373-a1e1b71fe8c7,32.22,USD,failed,p2p_send
txn_0eb40126134c4fe8,2026-01-31T11:42:28Z,ec661106-a12c-4f2e-94e6-0e099f44b402,cd093086-0397-43e1-9281-62ef73d197cf,20.01,GBP,succeeded,p2p_request
txn_9692c1a642224acb,2026-01-15T14:46:28Z,601f7dce-4077-47af-a4ef-dd712f7172ae,a12eed8f-64e2-49a0-bc8e-cb403d96dee5,36.08,GBP,succeeded,p2p_send
txn_c60c826b6e6e4934,2026-01-14T15:52:31Z,1bd4a9ba-792e-43c4-8b69-3f5ec7ed4f64,a212103b-fc10-432f-956e-6674230ecc56,69.57,GBP,succeeded,p2p_send
txn_2e9746a33dce448f,2026-01-22T06:26:32Z,7e96b36f-b319-4d4d-acc7-c9f64a9a872f,84fbc68e-315b-4f17-8c88-745151a5cd92,18.62,USD,succeeded,p2p_send
txn_562d4ebe499446a2,2026-01-15T14:44:00Z,6c44820a-a74d-4b6d-ae5b-2a65e30cc5de,a4f767dd-9299-4277-82e9-9e2115816cdf,18.62,GBP,succeeded,p2p_send
txn_9c7077983a754563,2026-01-22T10:53:41Z,c405a14a-3439-4613-895e-f076f0381639,673fc61a-5a9e-4829-9f35-ce5b01770cd1,72.56,EUR,succeeded,p2p_request
txn_58786bf957994d41,2026-01-14T23:03:50Z,903ec623-302d-4397-9d30-8e29e68693d3,86ef1629-df2f-452f-94a6-b7327bccdb8f,39.47,GBP,succeeded,p2p_send
txn_1618d10203a548e3,2026-01-08T06:47:10Z,1c52e46d-f385-4fc3-ac91-2aea2665f7f2,95d2600a-c2a7-4433-9c20-81aa2b2ed381,15.61,GBP,succeeded,p2p_request
txn_907c9822b03b491a,2026-01-23T18:31:13Z,f20a67c8-f3a5-4ff5-a9ac-9daa8a4b37e4,1b1dde07-66d1-4b69-a978-c2fc1427576f,33.35,GBP,succeeded,p2p_send
txn_bcc1b5d4349e490a,2026-01-11T04:29:23Z,0350f53a-7c0a-4c3e-899d-5a61d1f49f9a,e9130627-9c93-4fbd-958d-717d0874e7e1,15.68,USD,succeeded,p2p_send
txn_6210cf659bae482f,2026-01-21T10:22:12Z,3de5f194-0c14-480e-8dcd-8330deff478c,f46989a0-ca59-4acf-a9a0-8c76ed3448d9,15.65,GBP,succeeded,p2p_request
txn_0e00fdfc34764edf,2026-01-10T13:14:54Z,f57e5124-5259-4087-80db-797fcc532e47,95d2600a-c2a7-4433-9c20-81aa2b2ed381,26.61,GBP,succeeded,p2p_qr
txn_f0eaf1fe68984477,2026-01-24T01:05:01Z,e28d704f-ca21-4db7-ab05-8f238114237d,ab925abf-c852-4754-a7fb-2cc3e1343830,5.29,GBP,succeeded,p2p_send
txn_ea7b046dd46e4ca6,2026-02-01T00:04:02Z,126074c5-cdb5-4f04-a8a5-ade0575939cc,fee89c19-d184-47fc-b7f7-6b01972ed13d,6.09,GBP,succeeded,p2p_request
txn_4956e814ed65406a,2026-01-14T23:51:37Z,8ae35641-be1f-4fe7-a609-9543a3b30f3f,3fa37442-19fb-491d-9373-a1e1b71fe8c7,14.56,USD,succeeded,p2p_send
txn_d02c01f0b72d4d13,2026-01-28T20:06:44Z,e9603e07-934e-4e8f-a805-f2eff2e9b27a,53df473b-76d2-4f1f-924b-a9d7b04e7a7f,10.39,GBP,succeeded,p2p_qr
txn_94a58e279e5e4e95,2026-01-18T20:06:00Z,6fbe0755-2657-474f-8c11-fa35a50688c6,16883ec8-1708-4611-876a-4a3a55704df3,28.1,GBP,reversed,p2p_send
txn_92cf61c6e00e481b,2026-01-07T23:02:07Z,9cda8922-dab7-43bc-a416-9ba9dda5ab31,d471c01f-743c-4b9d-acca-bdd442421a01,11.23,GBP,succeeded,p2p_qr
txn_4fc553b78cb94d9c,2026-01-10T15:57:08Z,8fa1100f-c64b-4aed-beb1-d587fbcbb007,0383ae7e-efec-4287-8122-ab8d612918ed,7.7,GBP,succeeded,p2p_qr
txn_c854ec075ca44797,2026-01-29T05:59:03Z,6ba2712b-9a31-4952-b527-7346e0883887,e350848b-7fb6-4856-9be7-8cb60deb639d,66.64,USD,succeeded,p2p_request
txn_a02563b3da3c447b,2026-01-24T12:31:18Z,1408aec2-2fbd-4474-93c5-827f8fd5e597,5bd8e3a8-0991-4eee-bd07-3f203222da4c,18.74,GBP,succeeded,p2p_send
txn_6e8ad6268c4f4964,2026-01-14T00:13:40Z,30f74300-6ab1-4297-826b-7fa57d0292c0,560132f1-8f44-40b8-9034-58fb54f5e00d,23.35,GBP,succeeded,p2p_send
txn_d537cfc1880f4f41,2026-01-15T16:43:56Z,e50bd5f0-f005-41ba-8acc-64813735160b,27c6ab63-b6bb-4935-874b-bd380383b209,7.63,USD,succeeded,p2p_send
txn_7ddf9f7f48dd4d26,2026-01-25T15:08:25Z,15c16c8a-7ab9-445d-b2d4-6e04292a7fb0,ec6576a8-8a88-4a79-90ab-c6ff14208189,14.76,GBP,succeeded,p2p_send
txn_fd1bf5e35a9a4061,2026-01-09T10:13:31Z,5abaf388-b260-4b48-804a-58c29b0732a3,c5d030c9-b09e-4772-b7b5-c94627b1e145,24.12,GBP,succeeded,p2p_send
txn_a51947fabe554004,2026-01-08T23:14:30Z,27cda533-8c59-47f3-aae6-59079e02b285,25971002-47f4-4dca-842d-736b63bbede9,9.36,GBP,succeeded,p2p_send
txn_75752e173cc742e2,2026-01-27T04:26:15Z,77dcdcc4-322d-4446-87ff-0642fb88e936,e1074c39-2b96-4ad9-ae55-2a659d6612e2,29.42,USD,succeeded,p2p_request
txn_f820ae2d43bd46a0,2026-01-30T22:47:12Z,8170d96e-0519-44cc-86cf-c0524dc518fb,d8e187af-8d5d-4301-8dd0-0d52912dc155,14.15,USD,succeeded,p2p_send
txn_344ab10c27844011,2026-01-29T08:22:15Z,2a67d73d-9b08-4886-8b9d-820276ca00fb,d0e6e872-e26d-4629-99db-61a2844e0ac4,17.84,GBP,succeeded,p2p_send
txn_9bde4d8a8294413d,2026-01-12T20:32:50Z,25e6c398-2f81-44ad-aeef-e70a5fd975df,d264d831-1427-46d1-a595-be4eccc43e6f,14.14,GBP,succeeded,p2p_send
txn_9195f2ad523c4b1a,2026-01-23T15:15:16Z,0c39e517-7038-4cf3-b3aa-6a9dc5d89fcd,6ec532e5-a3b9-46cc-b6ff-d3b50f2eaba9,89.05,GBP,succeeded,p2p_send
txn_2bc280108dfc48a4,2026-01-29T13:03:25Z,b79a08ea-49af-43f0-a2d0-a4c9cb5a4604,78cca88d-94b9-4904-b528-cdfbfb86261d,21.97,GBP,succeeded,p2p_send
txn_d502cbdf1ac8475a,2026-01-10T23:54:02Z,1c52e46d-f385-4fc3-ac91-2aea2665f7f2,ea939769-8217-4289-92de-58a1ed5a6ed6,10.04,GBP,succeeded,p2p_request
txn_811457c9f5d0480c,2026-01-25T02:59:26Z,bcca74ae-bb15-455d-ac53-af7399d2d70b,15c16c8a-7ab9-445d-b2d4-6e04292a7fb0,41.14,USD,failed,p2p_send
txn_bb19b82961cc4976,2026-01-20T12:23:44Z,25972a90-591b-40f3-adf5-074bf33e4ae3,33f15d3b-a4d2-4ba7-92ba-6ec6b4d1ece9,8.89,EUR,succeeded,p2p_qr
txn_bf767e89e202402d,2026-01-28T11:56:12Z,0e408d76-c3ce-4e8d-abdc-fee419d0ab68,bfebb250-6faa-4b1c-b85a-665537a9e395,25.96,EUR,succeeded,p2p_send
txn_337d6b9ff17c4112,2026-01-22T00:22:38Z,4d7686b8-f399-4b4c-b49c-0566dda3f0ab,0d33a34e-701b-4a50-9d55-fd569153783a,5.11,USD,succeeded,p2p_send
txn_d0c19ea346c84646,2026-01-01T21:40:27Z,3319e9b6-ceb7-4d1e-94c1-e77262bf0cb8,06bb1bed-4e4c-4c38-bf30-6a3a62e06f90,8.2,USD,succeeded,p2p_send
txn_e280f86615744582,2026-01-30T18:17:56Z,2274ff55-cff5-43a6-ac8e-c350f4c7ca6c,f91254ff-ae2f-4cbe-a5a8-b6b715dc4ffc,25.73,EUR,succeeded,p2p_send
txn_a7c2b8042a8d4905,2026-01-26T06:06:03Z,c2b262ab-a12a-405f-b9c9-e91971375937,e711aa30-7a2b-4230-afd0-b838b26a47a6,38.62,GBP,succeeded,p2p_send
txn_8c465ee0926f4595,2026-01-18T12:01:56Z,78921b35-0fd9-4a72-a763-4eca44ab1a44,cd1f1904-e690-4209-9f4a-37bebb9c58e0,25.24,USD,succeeded,p2p_send
txn_2c9900a57148478e,2026-01-26T20:37:07Z,4715e33f-5daa-4713-8674-8e552c504014,6772a7b7-2cf8-4eb4-b899-7851df36d40e,20.35,GBP,succeeded,p2p_request
txn_f048c53cbe4e41d4,2026-01-02T19:06:44Z,f056d625-15eb-41e3-afdc-f592bf6b37f9,59aab147-513a-4552-9f34-2b887700c406,17.71,GBP,succeeded,p2p_send
txn_a346d996f4ac4e4a,2026-01-24T07:02:00Z,8bdf6ce8-baab-4942-932d-547abf4c7264,e8922549-febb-4373-98b0-e986e3544940,7.32,EUR,succeeded,p2p_send
txn_e60979a07458434f,2026-01-20T18:11:50Z,44a6df7e-6b0c-4c93-922e-09fa0d27a117,00946536-b078-40a5-a13b-3db5a8cf5268,12.94,EUR,succeeded,p2p_request
txn_3f984cbed9e947fa,2026-01-28T17:13:55Z,301ec51a-ab9c-4d8a-ab65-de90527f9402,f128a29a-5ac7-446d-8c13-37ca92241b85,15.71,USD,failed,p2p_send
txn_d5b0257a60e34507,2026-01-05T09:08:50Z,43260dd6-45cc-446b-b0c5-133f8e4b3843,05316cf9-5d1e-4bb0-925e-765b63bf2146,49.05,GBP,succeeded,p2p_request
txn_c3d72d02c1874514,2026-01-12T17:23:43Z,4f49c01d-e4c1-4fbd-8b45-0140cc5a2efe,1e66a3a7-0161-4393-a161-a5b5f17b9826,28.72,EUR,succeeded,p2p_send
txn_e664b5d8b3914dc2,2026-01-24T19:18:32Z,00615dc2-1913-488e-a393-c496d1feef61,d264d831-1427-46d1-a595-be4eccc43e6f,5.92,GBP,succeeded,p2p_send
txn_f14be2ba4c744871,2026-01-08T00:50:03Z,9ec383b5-1304-4d46-b167-2295161cee94,f15c347f-80f6-4fe5-b740-bb67dd0bf2f9,28.31,GBP,succeeded,p2p_request
txn_b5cc0052a9f84f19,2026-01-26T21:57:17Z,57855e5d-1c5c-4e5e-8fd2-77b49edc63e9,3b1612b4-a674-4d19-9843-3b78d9907229,16.63,USD,succeeded,p2p_send
txn_ef5eac11b8db46e9,2026-01-06T22:12:10Z,5a96ca2d-bbd3-48db-9df5-14c1bbfbe648,37d4bfeb-334f-46e2-a967-86294dfdc702,-0.29,GBP,succeeded,p2p_send
txn_93e3898c72c54462,2026-01-12T10:19:52Z,78641d97-64ed-43e5-803b-587aab4aa072,e0b17a7f-c0a3-4abc-87e9-40beded83ead,35.12,GBP,succeeded,p2p_send
txn_13ad7ba1af2745da,2026-01-24T06:28:00Z,8bdf6ce8-baab-4942-932d-547abf4c7264,d4235bb8-876b-4cdc-a34a-1d05d4b21237,34.35,GBP,succeeded,p2p_request
txn_4e5d76629c1b4fa5,2026-01-05T20:58:09Z,b7a2953d-6391-421d-b07e-08819fb0da31,79254d3b-6c8c-415b-b9ab-7bb1955fdb66,43.2,EUR,succeeded,p2p_send
txn_ec75315481b74436,2026-01-23T00:05:17Z,5b2356ec-0729-4804-abd1-39fd030c4d38,e50bd5f0-f005-41ba-8acc-64813735160b,43.41,USD,succeeded,p2p_send
txn_5593ed6c24564242,2026-01-14T13:00:56Z,27f82913-a43b-4e07-b718-ee7b1d7d48ff,39ea8360-23a4-48fb-bb34-74fe747b4ef5,39.1,USD,succeeded,p2p_send
txn_ad10569e93e1464b,2026-01-25T19:24:51Z,78b10b54-5879-4035-a2fe-3a77bd8b9eac,95d2600a-c2a7-4433-9c20-81aa2b2ed381,19.0,EUR,succeeded,p2p_request
txn_fe95f7acb6204ad6,2026-01-31T18:29:16Z,9ba08ef7-821f-41d4-977e-9f0415044d2a,53df473b-76d2-4f1f-924b-a9d7b04e7a7f,13.91,EUR,succeeded,p2p_send
txn_a21239df9dd24410,2026-01-11T21:32:47Z,7446c44b-d13d-4e48-9055-e203a8eacabd,fc31b4b9-2525-47c3-9a2c-888640ed0c14,7.16,GBP,succeeded,p2p_send
txn_7ce982c80fb5401b,2026-01-20T11:06:41Z,4af34b2f-7c11-40e9-9f6d-cd66a75702e4,c879afba-02ba-438a-a85a-243c454b51ca,50.64,USD,succeeded,p2p_send
txn_4c628a37c6fd4a9c,2026-01-30T20:47:05Z,b95b75c4-a128-4ba9-a71b-f9f62ebb40e8,dfd8d36c-e73b-449e-a201-339891d7ba4d,19.43,GBP,succeeded,p2p_send
txn_a4c1d36a89a4462a,2026-01-14T23:09:19Z,e78c2321-e14d-4bff-abcc-51d9662c7e2a,d5c5dc09-4d94-461e-930b-f7687fe1c072,16.32,GBP,succeeded,p2p_request
txn_1d6bd6f86fbc42f8,2026-01-18T16:17:18Z,72c5cbe4-dd81-45b0-bc53-3219a1a556e8,907a1aee-f756-48c4-b3d8-ea50737579e9,53.77,EUR,succeeded,p2p_send
txn_b67d51b1fbaf48be,2026-01-09T10:21:38Z,34e15085-45db-441a-bbff-6ad09732ea62,d516b827-08e4-4ab7-994e-b0bc7a45b7c9,11.32,USD,succeeded,p2p_send
txn_3143034d406c4121,2026-01-20T07:11:05Z,96fb45d7-a0af-457f-bf83-64d8f9e5f479,68faed92-8842-45be-b453-6ffb87fa1ed8,41.52,USD,succeeded,p2p_send
txn_88b9b563a86a4a54,2026-01-25T20:37:03Z,1b1dde07-66d1-4b69-a978-c2fc1427576f,869119f6-b3cc-46f4-9d15-e6dc58ee9ee8,27.73,EUR,succeeded,p2p_send
txn_9839b68ba4994db2,2026-01-12T17:25:43Z,4f49c01d-e4c1-4fbd-8b45-0140cc5a2efe,65db972e-a043-4dd8-819f-c1f5750358f8,10.19,GBP,succeeded,p2p_send
txn_de055d2a761e4b45,2026-01-29T04:18:58Z,8cf0c621-1df8-442a-baa4-9a3a4bba78a2,5f1f3e17-2fba-4c76-87b9-34d3a5975f76,20.97,GBP,succeeded,p2p_send
